RECORD RETRIEVAL DATE,DOT NUMBER,DBA NAME,LEGAL NAME,ALLOWED TO OPERATE,CARRIER OPERATION CODE,CARRIER OPERATION DESCRIPTION,CENSUS TYPE,CENSUS TYPE DESCRIPTION,CENSUS TYPE ID,IS PASSENGER CARRIER?,MCS150 OUTDATED?,OOS DATE,PHY STREET,PHY CITY,PHY STATE,PHY ZIP,PHY COUNTRY,REVIEW DATE,REVIEW TYPE,STATUS CODE,TOTAL DRIVERS,TOTAL POWER UNITS
9/6/2024,1936404,THE DUMBELL MAN FITNESS EQUIPMENT,GARV INC,Y,A,Interstate,C,CARRIER,1,N,N,,655 HAWAII AVENUE,TORRANCE,CA,90503,US,,,A,4,2
9/6/2024,2066587,,,N,,,,,,,,,,,,,,,,,,
9/6/2024,2084236,,,N,,,,,,,,,,,,,,,,,,
9/6/2024,2138590,,,N,,,,,,,,,,,,,,,,,,
9/6/2024,2151630,,,N,,,,,,,,,,,,,,,,,,
9/6/2024,2172159,,,N,,,,,,,,,,,,,,,,,,
9/6/2024,2328825,,,N,,,,,,,,,,,,,,,,,,
9/6/2024,2366659,CHASE COURIER,EXPEDITED FREIGHT SOLUTIONS LLC,Y,A,Interstate,C,CARRIER,1,N,N,,2750 OREGON CT SUITE M-3,TORRANCE,CA,90503,US,6/10/2020,N,A,8,8
9/6/2024,2375365,,,N,,,,,,,,,,,,,,,,,,
9/6/2024,2381949,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1001593,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1003451,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1004440,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1005094,PEPE'S TOWING SERVICE,PEPE'S INC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,918 SOUTH BOYLE AVENUE,LOS ANGELES,CA,90023,US,,,A,44,66
2024-09-07,1011591,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1015896,WESTERN REGIONAL DELIVERY SERVICE,SOUTH COAST TRANSPORTATION & DISTRIBUTION INC,Y,A,Interstate,C,CARRIER,1,N,N,,1424 SOUTH RAYMOND AVE,FULLERTON,CA,92831,US,2021-04-23,N,A,52,80
2024-09-07,1020218,ROYAL PLYWOOD COMPANY,ROYAL PLYWOOD COMPANY LLC,Y,A,Interstate,C,CARRIER,1,N,N,,14171 EAST PARK PLACE,CERRITOS,CA,90703,US,2023-07-26,N,A,39,38
2024-09-07,1021693,MDB TRANSPORTATION,MDB TRANSPORTATION INC,Y,A,Interstate,C,CARRIER,1,N,N,,435 E WEBER AVE,COMPTON,CA,90222,US,2023-11-15,N,A,41,43
2024-09-07,1024955,VULCAN MATERIALS COMPANY SHAMROCK MATERIALS INC,CALMAT CO,Y,A,Interstate,C,CARRIER,1,N,N,,16013 E FOOTHILL BLVD,IRWINDALE,CA,91702,US,2023-02-24,N,A,89,89
2024-09-07,1033158,KING KONG PRODUCTION VEHICLES,KING KONG PRODUCTIONS VEHICLES INC,Y,A,Interstate,C,CARRIER,1,N,N,,8924 LANKERSHIM BLVD,SUN VALLEY,CA,91352,US,,,A,8,31
2024-09-07,1038405,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1041054,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1045084,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1045320,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1046573,EAGLERIDER,J C BROMAC,Y,A,Interstate,C,CARRIER,1,N,N,,11860 S LA CIENEGA BLVD,HAWTHORNE,CA,90250,US,,,A,14,31
2024-09-07,1048914,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1052526,FOUNDATION BUILDING MATERIALS,FBM LOGISTICS LLC,Y,A,Interstate,C,CARRIER,1,N,N,,2520 RED HILL AVE,SANTA ANA,CA,92705,US,2022-09-28,N,A,2132,2310
2024-09-07,1057811,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1060169,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1060429,HIDDEN VILLA RANCH,LUBERSKI INC,Y,A,Interstate,C,CARRIER,1,N,N,,310 NORTH HARBOR BOULEVARD 205,FULLERTON,CA,92862,US,2020-02-25,N,A,36,50
2024-09-07,1061524,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1063631,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1065278,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1065893,MSI,M S INTERNATIONAL INC,Y,A,Interstate,C,CARRIER,1,N,N,,2095 N BATAVIA STREET,ORANGE,CA,92865,US,2022-06-23,N,A,1360,750
2024-09-07,1069767,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1074018,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1074419,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1076613,FERRIS HOIST AND REPAIR,PETERSON HYDRAULICS INC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,1653 W EL SEGUNDO BLVD,GARDENA,CA,90249-2009,US,,,A,30,30
2024-09-07,1079113,MELISSAS BRAND,WORLD VARIETY PRODUCE INC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,5325 SOUTH SOTO STREET,VERNON,CA,90058,US,,,A,42,39
2024-09-07,1079145,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1099065,LAPD LAFD LA HARBOR GENERAL SERVICE,CITY OF LOS ANGELES,Y,B,Intrastate Hazmat,C,CARRIER,1,N,N,,2310 E 7TH ST,LOS ANGELES,CA,90023,US,2024-05-21,N,A,15844,2743
2024-09-07,1100255,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1101357,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1101482,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1112853,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1120526,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1120581,CAPSTONE FIRE & SAFETY MANAGEMENT,CAPSTONE FIRE MANAGEMENT INC,Y,A,Interstate,C,CARRIER,1,N,N,,2240 AUTO PARK WAY,ESCONDIDO,CA,92029,US,,,A,69,64
2024-09-07,1125439,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1130314,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1146360,ATI,ATI RESTORATION LLC,Y,A,Interstate,C,CARRIER,1,N,N,,3360E LA PALMA AVE,ANAHEIM,CA,92806,US,2021-08-03,N,A,127,50
2024-09-07,1151128,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1151228,AMERICAN TRANSPORTATION,AMERICAN TRANSPORTATION SYSTEMS,Y,A,Interstate,C,CARRIER,1,Y,N,,3133 E SOUTH ST,LONG BEACH,CA,90805,US,2024-04-23,N,A,99,131
2024-09-07,1151662,SUPERIOR TANK LINES,SO CAL PETROLEUM TRANSPORT INC,Y,A,Interstate,C,CARRIER,1,N,N,,601 S HUNTS LANE,COLTON,CA,92324,US,2017-11-22,N,A,187,85
2024-09-07,1156236,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1175706,ARDWIN FREIGHT,ARDWIN INC,Y,A,Interstate,C,CARRIER,1,N,N,,2940 N HOLLYWOOD WAY,BURBANK,CA,91505,US,2018-09-06,N,A,38,38
2024-09-07,1177055,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1180475,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1181236,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1183612,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1185228,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1188858,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1189566,QUIK PICK EXPRESS,QUIK PICK EXPRESS LLC,Y,A,Interstate,C,CARRIER,1,N,N,,23610 S BANNING BLVD,CARSON,CA,90745,US,2007-05-02,C,A,63,98
2024-09-07,1192915,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1199239,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1207159,BRENNTAG,BRENNTAG PACIFIC INC,Y,A,Interstate,C,CARRIER,1,N,N,,10747 PATTERSON PLACE,SANTA FE SPRINGS,CA,90670,US,2019-08-27,N,A,140,167
2024-09-07,1246609,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1254676,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1258582,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1260249,JACMAR FOOD SERVICE DISTRIBUTION,THE JACMAR COMPANIES,Y,A,Interstate,C,CARRIER,1,N,N,,4601 E GUASTI RD,ONTARIO,CA,91761,US,2023-09-22,N,A,28,30
2024-09-07,1263693,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,12663,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1267736,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1269528,FIBER CARE BATHS INC OR TK TRKING S DE RL DE CV,FIBER CARE BATHS INC,Y,A,Interstate,C,CARRIER,1,N,N,,9832 YUCCA ROAD,ADELANTO,CA,92301,US,2024-02-16,N,A,20,60
2024-09-07,1270604,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1274552,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1276566,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1300094,S & S TRUCKING,SST TRANSPORTATION INC,Y,A,Interstate,C,CARRIER,1,N,N,,8641 LIVE OAK AVE,FONTANA,CA,92335,US,2022-07-28,N,A,19,26
2024-09-07,1310930,HADLEY TOW,FMG INC,Y,A,Interstate,C,CARRIER,1,N,N,,11819 E HADLEY ST,WHITTIER,CA,90601,US,2020-06-09,N,A,51,51
2024-09-07,1312440,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1326050,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1339646,GREENLINE TRANSPORTATION LLC,GREENLINE LLC,Y,A,Interstate,C,CARRIER,1,N,N,,1625 SOUTH PROFORMA AVE,ONTARIO,CA,91761,US,2023-09-06,N,A,44,59
2024-09-07,1340674,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1362644,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1385969,ATHENS DISPOSAL COMPANY,ARAKELIAN ENTERPRISES INC,Y,B,Intrastate Hazmat,C,CARRIER,1,N,N,,14048 VALLEY BLVD,CITY OF INDUSTRY,CA,91746,US,2020-10-15,N,A,953,916
2024-09-07,1386081,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1388780,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1392136,MERIT OIL COMPANY,NUCKLES OIL COMPANY INC,Y,B,Intrastate Hazmat,C,CARRIER,1,N,N,,1800 S RIVERSIDE AVE,COLTON,CA,92316,US,2023-09-19,N,A,43,27
2024-09-07,1393872,KGC LLC,KINDNESS GENERAL CONTRACTORS LLC,Y,A,Interstate,C,CARRIER,1,N,N,,6461 GLOBAL DRIVE,CYPRESS,CA,90630,US,2019-12-02,N,A,15,46
2024-09-07,1398199,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1398282,THE CHEFS' WAREHOUSE,THE CHEFS' WAREHOUSE WEST COAST LLC,Y,A,Interstate,C,CARRIER,1,N,N,,455 S BREA CANYON ROAD,WALNUT,CA,91789,US,2023-09-18,N,A,80,176
2024-09-07,1400170,CLEANTECH ENVIRONMENTAL INC,AGRITEC INTERNATIONAL LTD,Y,A,Interstate,C,CARRIER,1,N,N,,5820 MARTIN RD,IRWINDALE,CA,91706,US,2023-06-23,N,A,52,57
2024-09-07,1402981,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1410995,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1412209,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1423162,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,143256,-KMC -KAWASAKI -KAWASAKI TEAM GREEN -KAWASAKI ENGINES,KAWASAKI MOTORS CORP USA,Y,A,Interstate,C,CARRIER,1,N,N,,29672 BURBANK,FOOTHILL RANCH,CA,92610-2506,US,1992-03-20,C,A,58,26
2024-09-07,1439255,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1439611,INDUSTRIAL METAL SUPPLY CO,NORMAN INDUSTRIAL MATERIALS,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,8300 SAN FERNANDO ROAD,SUN VALLEY,CA,91352,US,,,A,44,48
2024-09-07,1445717,CBS TELEVISION STUDIOS,CBS STUDIOS INC,Y,A,Interstate,C,CARRIER,1,Y,N,,4024 RADFORD AVE,STUDIO CITY,CA,91604,US,2020-03-04,N,A,332,422
2024-09-07,1446156,EC VAPOR CONTROL,ENVENT CORPORATION,Y,A,Interstate,C,CARRIER,1,N,N,,3220 EAST 29TH STREET,LONG BEACH,CA,90806,US,2021-02-22,N,A,17,59
2024-09-07,1446210,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1456587,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1462486,SCS ENGINEERS,STEARNS CONRAD AND SCHMIDT CONSULTING ENGINEERS INC,Y,A,Interstate,C,CARRIER,1,N,N,,3900 KILROY AIRPORT SUITE 100,LONG BEACH,CA,90806,US,2013-03-14,N,A,53,53
2024-09-07,1470669,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1475332,BEST-VIP CHAUFFEURED WORLDWIDE,BEST LIMOUSINES & TRANSPORTATION INC,Y,A,Interstate,C,CARRIER,1,Y,N,,2701 S BIRCH ST,SANTA ANA,CA,92707,US,2024-07-22,N,A,51,45
2024-09-07,1481271,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1485609,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1491273,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1509235,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,151877,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1523020,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1526072,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1536172,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1544208,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1545872,FOX RENT A CAR,FOX RENT A CAR INC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,Y,N,,5500 W CENTURY BLVD,LOS ANGELES,CA,90045,US,,,A,79,60
2024-09-07,1552681,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1560953,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,156237,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1569243,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1582586,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1595245,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1618281,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1627539,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1627740,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1631144,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1641739,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,164701,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1647683,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1650805,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1667771,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,167240,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1674534,GOTHIC LANDSCAPE,GOTHIC LANDSCAPING INC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,27413 TOURNEY RD SUITE 200,VALENCIA,CA,91355,US,,,A,290,257
2024-09-07,1676627,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1677730,SA RECYCLING,S A RECYCLING LLC,Y,A,Interstate,C,CARRIER,1,N,N,,2411 N GLASELL AVE,ORANGE,CA,92865,US,2023-07-21,N,A,62,120
2024-09-07,1678243,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1679776,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1680520,SABA HOLDING COMPANY,SABA HOLDING COMPANY LLC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,22099 KNABE ROAD,CORONA,CA,92883,US,,,A,28,28
2024-09-07,1681991,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1686423,BISCUIT FILMWORKS,DOGMA FILMS INC,Y,A,Interstate,C,CARRIER,1,N,N,,7026 SANTA MONICA BLVD,LOS ANGELES,CA,90038,US,,,A,30,30
2024-09-07,1687334,MERLI CONCRETE PUMPING,STEFAN MERLI PLASTERING INC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,1230 W 130TH ST,GARDENA,CA,90247,US,,,A,40,40
2024-09-07,1696244,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1699631,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1706355,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1707804,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1720884,DUTIE POWER SERVICES,DUTHIE ELECTRIC SERVICE CORP,Y,A,Interstate,C,CARRIER,1,N,N,,2335 E CHERRY INDUSTRIAL CIRCLE,LONG BEACH,CA,90805,US,2021-07-14,N,A,30,46
2024-09-07,1730789,LPG TRANSPORT,PACIFIC COAST PROPANE LLC,Y,A,Interstate,C,CARRIER,1,N,N,,539 W MAIN ST,ONTARIO,CA,91762,US,2023-01-19,N,A,69,51
2024-09-07,1736696,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1738632,FRESHPOINT,FRESHPOINT SOUTHERN CALIFORNIA INC,Y,A,Interstate,C,CARRIER,1,N,N,,155 N ORANGE AVE,CITY OF INDUSTRY,CA,91744,US,2005-04-28,C,A,114,119
2024-09-07,1738957,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1740187,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1745562,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1747048,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1747691,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1757147,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1769823,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1773958,PTI SAND AND GRAVEL,P T I SAND AND GRAVEL,Y,A,Interstate,C,CARRIER,1,N,N,,28737 CA 74 - A,LAKE ELSINORE,CA,92532,US,,,A,54,27
2024-09-07,1778554,HERCA CONSTRUCTION SERVICES,HERCA TELECOMM SERVICES INC,Y,A,Interstate,C,CARRIER,1,N,N,,18610 BECK STREET,PERRIS,CA,92570,US,2023-05-25,N,A,25,36
2024-09-07,1778992,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1783015,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1783142,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1800144,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1800492,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1804039,SYSCO LOS ANGELES,SYSCO LOS ANGELES INC,Y,A,Interstate,C,CARRIER,1,N,N,,20701 E CURRIER RD,WALNUT,CA,91789,US,,,A,270,199
2024-09-07,1805208,DDP DDL,DEDICATED DELIVERY PROFESSIONALS INC,Y,A,Interstate,C,CARRIER,1,N,N,,10215  PAINTER AVENUE,SANTA FE SPRINGS,CA,90670,US,2021-10-04,N,A,61,76
2024-09-07,1809619,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1811463,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1813769,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1813892,CAL HAZ,TAIT ENVIRONMENTAL SERVICES INC,Y,A,Interstate,C,CARRIER,1,N,N,,701 N PARKCENTER DR,SANTA ANA,CA,92705,US,2023-01-27,N,A,38,49
2024-09-07,1816486,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1827180,SPRAGUES' READYMIX,SPRAGUES' ROCK AND SAND INC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,230 EAST LONGDEN,IRWINDALE,CA,91706,US,,,A,32,31
2024-09-07,1829579,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1830061,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1830384,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1838651,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1840079,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1848100,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1848932,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1853360,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1854165,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1859123,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1866586,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1873218,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1874088,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1876217,HENRY AVOCADO CORPORATION,HENRY AVOCADO CORP,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,2208 HARMONY GROVE RD,ESCONDIDO,CA,92029,US,,,A,23,29
2024-09-07,1890625,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1895150,UNIVERSAL PLANT SERVICES,UNIVERSAL PLANT SERVICES OF CALIFORNIA INC,Y,A,Interstate,C,CARRIER,1,N,N,,20545 BELSHAW AVE,CARSON,CA,90746-3505,US,,,A,62,54
2024-09-07,1897904,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1912173,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1912671,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1916881,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1917702,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,193134,WORLD OIL ENVIRONMENTAL SERVICES,ASBURY ENVIRONMENTAL SERVICES,Y,A,Interstate,C,CARRIER,1,N,N,,1300 S SANTA FE AVENUE,COMPTON,CA,90221,US,2021-12-02,N,A,192,200
2024-09-07,1937803,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1937870,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,194055,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1943338,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1952674,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,195798,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,197051,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1973907,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1979691,SECURE TRANSPORTATION,SECURE TRANSPORTATION COMPANY INC,Y,A,Interstate,C,CARRIER,1,Y,N,,12800  CENTER COURT DR SUITE 120,CERRITOS,CA,90703,US,2024-07-09,N,A,30,27
2024-09-07,198761,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1991754,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,1997848,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2007610,CALIFORNIA FUELS & LUBRICANTS,AAA OIL INC,Y,A,Interstate,C,CARRIER,1,N,N,,11621 WESTMINSTER AVENUE,GARDEN GROVE,CA,92843,US,2023-07-28,N,A,41,55
2024-09-07,2010875,NEXUS TRANSPORT,NEXUS PACIFIC TRANSPORT INC,Y,A,Interstate,C,CARRIER,1,N,N,,8457 EASTERN AVE UNIT B,BELL GARDENS,CA,90201,US,2024-07-11,N,A,52,63
2024-09-07,2012507,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2012917,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2018502,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2019214,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,20214,GRILEY AIR FREIGHT,SOUTHERN COUNTIES TERMINALS,Y,A,Interstate,C,CARRIER,1,N,N,,5341 WEST 104TH STREET,LOS ANGELES,CA,90045,US,2006-01-31,C,A,125,95
2024-09-07,2022631,ENTERPRISE RENTACAR ALAMO RENTACAR NATIONAL CAR RENTAL ENTERPRISE TRUCK RENTAL,ENTERPRISE RENT-A-CAR COMPANY OF LOS ANGELES LLC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,Y,N,,9020 AVIATION BLVD,INGLEWOOD,CA,90301,US,,,A,280,1716
2024-09-07,20293,ESTES WEST,G I TRUCKING COMPANY,Y,A,Interstate,C,CARRIER,1,N,N,,14727 ALONDRA BLVD,LA MIRADA,CA,90638-5617,US,2023-08-24,N,A,1805,1951
2024-09-07,2031074,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,203293,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,20342,EMJ - ENCORE METALS - STEEL BAR,EARLE M JORGENSEN CO,Y,A,Interstate,C,CARRIER,1,N,N,,10650 ALAMEDA STREET,LYNWOOD,CA,90262,US,1994-09-21,C,A,167,213
2024-09-07,203461,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2037368,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2042509,,,N,,,,,,,,,,,,,,,,,,
